Repository,Forks,additions,Deletions,Total,Messages
parser,188,2,2,4,Update changelog.
parser,188,9,0,9,Update changelog.
parser,188,1,1,2,Bump version.
parser,188,6,6,12,"* Bump maintenance branches to 3.1.2, 3.0.4, 2.7.6, and 2.6.10 (#850)

These Rubies has been released.

- https://www.ruby-lang.org/en/news/2022/04/12/ruby-3-1-2-released/
- https://www.ruby-lang.org/en/news/2022/04/12/ruby-3-0-4-released/
- https://www.ruby-lang.org/en/news/2022/04/12/ruby-2-7-6-released/
- https://www.ruby-lang.org/en/news/2022/04/12/ruby-2-6-10-released/

## Ruby 3.1 branch

Bump 3.1 branch from 3.1.1 to 3.1.2

https://github.com/ruby/ruby/compare/v3_1_1...v3_1_2

There seems to be no change to the syntax.

## Ruby 3.0 branch

Bump 3.0 branch from 3.0.3 to 3.0.4

https://github.com/ruby/ruby/compare/v3_0_3...v3_0_4

There seems to be no change to the syntax.

## Ruby 2.7 branch

Bump 2.7 branch from 2.7.5 to 2.7.6

https://github.com/ruby/ruby/compare/v2_7_5...v2_7_6

There seems to be no change to the syntax.

## Ruby 2.6 branch

Bump 2.6 branch from 2.6.9 to 2.6.10

https://github.com/ruby/ruby/compare/v2_6_9...v2_6_10

There seems to be no change to the syntax."
parser,188,6,3,9,- ruby32.y: fix using p_kwnorest in f_no_kwarg (#848)
parser,188,5,15,20,Upgrade Github Actions test workflow (#849)
parser,188,2,2,4,Update changelog.
parser,188,13,0,13,Update changelog.
parser,188,1,1,2,Bump version.
parser,188,3,3,6,"* Bump 3.1 branch to 3.1.1

Ruby 3.1.1 has been released.
https://www.ruby-lang.org/en/news/2022/02/18/ruby-3-1-1-released/

Bump 3.1 branch from 3.1.0 to 3.1.1
https://github.com/ruby/ruby/compare/v3_1_0...v3_1_1

There seems to be no change to the syntax."
parser,188,1,1,2,"+ ruby32.y: Reuse operation rule for operation2

Follow up of https://github.com/ruby/ruby/pull/5545."
parser,188,1,1,2,"+ ruby32.y: Reuse p_kwnorest rule for f_no_kwarg

Follow up of https://github.com/ruby/ruby/pull/5540."
parser,188,6,0,6,+ ruby-parse: add ability to read fragment from stdin (#844)
parser,188,4,14,18,"+ ruby32.y: reduce p_args with p_rest (#843)

This commit tracks upstream commit ruby/ruby@b633c9a"
parser,188,3244,0,3244,+ ruby32.y: branch parser (#841)
parser,188,9,0,9,Update changelog.
parser,188,7,7,14,* parser/current: update for 3.1.0 release. (#840)
parser,188,1507,1202,2709,"+ ruby31.y: accept forward arg without parentheses. (#839)

This commit tracks upstream commit ruby/ruby@aa7c4c3.

Also there's a change to Context API that caused a massive rewrite in all grammars.
However, it doesn't affect any logic before 3.1, it's mostly a refactoring."
parser,188,2,2,4,Update changelog.
parser,188,6,0,6,Update changelog.
parser,188,1,1,2,Bump version.
parser,188,8,1,9,- dedenter.rb: fix an encoding/squiggly heredoc regression (#836)
parser,188,3,3,6,"warn_syntax_deviation: call `warn` only once (#834)

Co-authored-by: Jean Boussier <jean.boussier@gmail.com>"
parser,188,2,2,4,Update changelog.
parser,188,7,0,7,Update changelog.
parser,188,1,1,2,Bump version.
