,Repository,Forks,avg_grade,Correlation
0,parser,188,0.014566084023305734,-0.03891145140246491
1,meta-smalltalk,1,0.10669456066945607,-0.03891145140246491
2,wireless-TCP-caching,0,0.016129032258064516,-0.03891145140246491
3,FSCrypto,0,0.2533972821742606,-0.03891145140246491
4,ncbo_annotator,12,0.08536585365853659,-0.03891145140246491
5,Catalan.jl,5,0.097678916827853,-0.03891145140246491
6,KataEight,0,0.00025537658926323855,-0.03891145140246491
7,LAB-Mo-Tester,11,0.006080707573244887,-0.03891145140246491
8,tf-mapper,0,0.06523468575974542,-0.03891145140246491
9,BPlusTrees,0,0.025221540558963872,-0.03891145140246491
10,TrackzFunkyIdeaz,0,0.03015873015873016,-0.03891145140246491
11,SASP-Project,0,0.09758364312267659,-0.03891145140246491
12,old.blog,50,0.004090720795360397,-0.03891145140246491
13,SpreadSheetTableView,2,0.07216494845360824,-0.03891145140246491
14,shortcapri,1,0.03861209964412811,-0.03891145140246491
15,chewy-cmake-rep,0,0.02391041162227603,-0.03891145140246491
16,Cellule,2,0.06704196519959059,-0.03891145140246491
17,CP-Project,0,0.12310606060606061,-0.03891145140246491
18,dancingball,1,0.03824027072758037,-0.03891145140246491
19,TCL-Eggdrop,17,0.04131944444444444,-0.03891145140246491
20,gpio,1,0.004545454545454545,-0.03891145140246491
21,HSR.modules.SMS.project.Hardrock,0,0.0010433875315189983,-0.03891145140246491
22,385FinalProject,0,0.060324825986078884,-0.03891145140246491
23,hackfoldr,145,0.04377605717689101,-0.03891145140246491
24,elcano,69,0.014520328459843782,-0.03891145140246491
25,cug2013-torque,0,0.009146341463414634,-0.03891145140246491
26,project,0,0.003641178417742469,-0.03891145140246491
27,Portable-VirtualBox,209,0.1766355140186916,-0.03891145140246491
28,transit,0,1.2846419197972357e-05,-0.03891145140246491
29,monkey-utf8,1,0.004438526409232135,-0.03891145140246491
30,veggtrafikant,0,0.010815682739972961,-0.03891145140246491
31,PlantSimLab,0,,-0.03891145140246491
32,bin,0,0.07386363636363635,-0.03891145140246491
33,rebolbot,6,0.16056910569105692,-0.03891145140246491
34,Cours-Python,1,0.004495950321410598,-0.03891145140246491
35,ClusteringAdequation,0,0.056710040784618373,-0.03891145140246491
36,dbclass-exercises,32,0.0030651340996168583,-0.03891145140246491
37,Basys2,1,0.1774986346258875,-0.03891145140246491
38,FluentSQL,1,0.04118028534370947,-0.03891145140246491
39,demo-postgresql-php,4,0.16593886462882096,-0.03891145140246491
40,dklang,12,0.004817636079301821,-0.03891145140246491
41,hinitiality,1,0.030197444831591175,-0.03891145140246491
42,ar-epp-extensions,1,0.03792974588938715,-0.03891145140246491
43,RealTimeCoordinationLibrary,4,0.0024953079679235625,-0.03891145140246491
44,File-HomeDir,4,0.265993265993266,-0.03891145140246491
45,test,0,0.055944055944055944,-0.03891145140246491
46,SynWrite,18,0.0041517055655296235,-0.03891145140246491
47,registration-plates,1,0.00011695688809618109,-0.03891145140246491
48,Pulsum-Plantae,20,0.1111111111111111,-0.03891145140246491
49,con_cache,58,0.09447674418604651,-0.03891145140246491
50,design-b,1,0.0745393634840871,-0.03891145140246491
51,glowing-lana,0,0.08426966292134831,-0.03891145140246491
52,LAB8,0,0.04310792862505053,-0.03891145140246491
53,juliaparsec,1,0.1430317848410758,-0.03891145140246491
54,introducao-a-programacao-livro,18,0.002417631845271562,-0.03891145140246491
55,swingame,8,0.02730171383021124,-0.03891145140246491
56,UOAuthClient,0,0.10619469026548672,-0.03891145140246491
57,ssdn_puredata,0,0.22286374133949194,-0.03891145140246491
58,3D_Models,102,0.07412390235620722,-0.03891145140246491
59,sf-building,1,0.0013296281030195855,-0.03891145140246491
60,activity-visualizer,1,0.020311858842839557,-0.03891145140246491
61,quality-tree,0,0.08300170551449687,-0.03891145140246491
62,wasabi,59,0.06274056966897613,-0.03891145140246491
63,draw,2,0.4387040280210157,-0.03891145140246491
64,lasso-oauth,1,0.5,-0.03891145140246491
65,ada-fuse,3,0.13486842105263158,-0.03891145140246491
66,RCUDA,10,0.013582614253755194,-0.03891145140246491
67,journal2ebook,10,0.0005543643967618598,-0.03891145140246491
68,ExpertSystem,0,0.319634703196347,-0.03891145140246491
69,Mosfets,0,0.08270270270270269,-0.03891145140246491
70,UART_module,0,0.5,-0.03891145140246491
71,landsat-downloader,4,0.07427536231884058,-0.03891145140246491
72,textbook-generator,0,0.00010558302430984755,-0.03891145140246491
