,Repository,Forks,avg_grade,Correlation
0,parser,188,0.0013880320789636028,-0.07007988161557654
1,meta-smalltalk,1,0.0625,-0.07007988161557654
2,wireless-TCP-caching,0,0.0056179775280898875,-0.07007988161557654
3,FSCrypto,0,0.11267605633802817,-0.07007988161557654
4,ncbo_annotator,12,0.0582010582010582,-0.07007988161557654
5,Catalan.jl,5,0.10696517412935323,-0.07007988161557654
6,KataEight,0,0.00012773722627737227,-0.07007988161557654
7,LAB-Mo-Tester,11,0.0030344827586206895,-0.07007988161557654
8,tf-mapper,0,0.019105691056910568,-0.07007988161557654
9,BPlusTrees,0,0.009810791871058164,-0.07007988161557654
10,TrackzFunkyIdeaz,0,0.0032,-0.07007988161557654
11,SASP-Project,0,0.05790441176470588,-0.07007988161557654
12,old.blog,50,0.0012952025696818983,-0.07007988161557654
13,SpreadSheetTableView,2,0.05958549222797927,-0.07007988161557654
14,shortcapri,1,0.03069236259814418,-0.07007988161557654
15,chewy-cmake-rep,0,0.017884207335556228,-0.07007988161557654
16,Cellule,2,0.05544354838709678,-0.07007988161557654
17,CP-Project,0,0.07644628099173553,-0.07007988161557654
18,dancingball,1,0.03894896924636702,-0.07007988161557654
19,TCL-Eggdrop,17,0.014265831593597775,-0.07007988161557654
20,gpio,1,0.0019115890083632018,-0.07007988161557654
21,HSR.modules.SMS.project.Hardrock,0,0.0006350587211831232,-0.07007988161557654
22,385FinalProject,0,0.03290676416819013,-0.07007988161557654
23,hackfoldr,145,0.005813953488372093,-0.07007988161557654
24,elcano,69,0.008417677121956109,-0.07007988161557654
25,cug2013-torque,0,0.0032773453502662844,-0.07007988161557654
26,project,0,0.0013550135501355014,-0.07007988161557654
27,Portable-VirtualBox,209,0.10082304526748971,-0.07007988161557654
28,transit,0,7.707899321013807e-06,-0.07007988161557654
29,monkey-utf8,1,0.004896505675495215,-0.07007988161557654
30,veggtrafikant,0,0.00928513476967457,-0.07007988161557654
31,PlantSimLab,0,,-0.07007988161557654
32,bin,0,0.045454545454545456,-0.07007988161557654
33,rebolbot,6,0.026483050847457626,-0.07007988161557654
34,Cours-Python,1,0.004262052056903384,-0.07007988161557654
35,ClusteringAdequation,0,0.05698475876128531,-0.07007988161557654
36,dbclass-exercises,32,0.0007646721468170522,-0.07007988161557654
37,Basys2,1,0.17323481116584566,-0.07007988161557654
38,FluentSQL,1,0.03853626943005181,-0.07007988161557654
39,demo-postgresql-php,4,0.05894308943089431,-0.07007988161557654
40,dklang,12,0.0010360861215000506,-0.07007988161557654
41,hinitiality,1,0.020319303338171266,-0.07007988161557654
42,ar-epp-extensions,1,0.012532411408815903,-0.07007988161557654
43,RealTimeCoordinationLibrary,4,0.0005342108637121244,-0.07007988161557654
44,File-HomeDir,4,0.058823529411764705,-0.07007988161557654
45,test,0,0.028169014084507043,-0.07007988161557654
46,SynWrite,18,0.001968503937007874,-0.07007988161557654
47,registration-plates,1,1.9936151153239888e-05,-0.07007988161557654
48,Pulsum-Plantae,20,0.175,-0.07007988161557654
49,con_cache,58,0.03494623655913978,-0.07007988161557654
50,design-b,1,0.07039815349105596,-0.07007988161557654
51,glowing-lana,0,0.03951367781155015,-0.07007988161557654
52,LAB8,0,0.0425624133148405,-0.07007988161557654
53,juliaparsec,1,0.0718849840255591,-0.07007988161557654
54,introducao-a-programacao-livro,18,0.0009585024808299504,-0.07007988161557654
55,swingame,8,0.004107393307954317,-0.07007988161557654
56,UOAuthClient,0,0.11711711711711711,-0.07007988161557654
57,ssdn_puredata,0,0.12352941176470589,-0.07007988161557654
58,3D_Models,102,0.0741064953194629,-0.07007988161557654
59,sf-building,1,0.0009442242732132883,-0.07007988161557654
60,activity-visualizer,1,0.0016359918200409,-0.07007988161557654
61,quality-tree,0,0.07896237172177879,-0.07007988161557654
62,wasabi,59,0.03762376237623762,-0.07007988161557654
63,draw,2,0.4307228915662651,-0.07007988161557654
64,lasso-oauth,1,0.5,-0.07007988161557654
65,ada-fuse,3,0.10077519379844961,-0.07007988161557654
66,RCUDA,10,0.003032237472071497,-0.07007988161557654
67,journal2ebook,10,7.745933384972889e-05,-0.07007988161557654
68,ExpertSystem,0,0.23,-0.07007988161557654
69,Mosfets,0,0.044835414301929624,-0.07007988161557654
70,UART_module,0,0.5,-0.07007988161557654
71,landsat-downloader,4,0.04140625,-0.07007988161557654
72,textbook-generator,0,5.022420600681504e-05,-0.07007988161557654
73,BluetoothControl,0,0.16471038530237306,-0.07007988161557654
74,CHClanChat,2,0.0743801652892562,-0.07007988161557654
75,Otium-OS,0,0.32036613272311215,-0.07007988161557654
76,postJSON.gs,1,,-0.07007988161557654
77,vala-magento,0,0.23020527859237538,-0.07007988161557654
78,readback,0,0.008118433619866285,-0.07007988161557654
79,SimJulia.jl,35,0.006006006006006006,-0.07007988161557654
80,solMakerMKII,1,0.00042988565041698906,-0.07007988161557654
81,rust-lua,2,0.5517241379310345,-0.07007988161557654
82,WinFF,0,0.003930265238011594,-0.07007988161557654
83,pettil,3,0.028049975502204803,-0.07007988161557654
84,FlashPlayer,0,0.2611408199643494,-0.07007988161557654
85,m3u,1,0.007142857142857143,-0.07007988161557654
86,audit-trigger,212,0.016877637130801686,-0.07007988161557654
87,curecode,4,0.0010882576994232234,-0.07007988161557654
88,notes,0,0.015717092337917484,-0.07007988161557654
89,osc.io,0,0.0,-0.07007988161557654
90,GSL.jl,28,0.023041474654377878,-0.07007988161557654
91,LizViz,0,0.12381852551984876,-0.07007988161557654
92,Rcompression,6,0.00024296837940090938,-0.07007988161557654
93,7squared,0,0.016811955168119553,-0.07007988161557654
94,ns2stats_web_source,1,0.018409308256295824,-0.07007988161557654
95,e100,0,0.008039419087136929,-0.07007988161557654
96,fots-basex,4,0.08541973490427099,-0.07007988161557654
97,SimpleOS-v2,0,0.01753115039119096,-0.07007988161557654
98,strands,0,0.026645135244247074,-0.07007988161557654
99,Hello-World,0,,-0.07007988161557654
100,autovala,15,0.016065388951521986,-0.07007988161557654
101,cleanSWF,1,0.033707865168539325,-0.07007988161557654
102,Kelm,0,0.03793774319066148,-0.07007988161557654
103,ai,2,0.07548845470692717,-0.07007988161557654
104,ECE437-MIPS-cached-processor,0,0.00022886786695148,-0.07007988161557654
105,ECE437-MIPS-pipelined-processor,1,0.000154273372415921,-0.07007988161557654
